"client_CountryOrRegion","count","variable","subvariable","label"
"Canada",151,"client_Model","iPhone","iPhone"
"Canada",143,"client_Model","Generic Smartphone","Generic<br>Smartphone"
"Canada",63,"client_Model","Other","Other"
"Canada",7,"client_Model","Samsung SM-G781W","Samsung<br>SM-G781W"
"Canada",6,"client_Model","Samsung SM-G973W","Samsung<br>SM-G973W"
"China",78,"client_Model","Generic Smartphone","Generic<br>Smartphone"
"China",45,"client_Model","iPhone","iPhone"
"China",20,"client_Model","Huawei Browser","Huawei<br>Browser"
"China",4,"client_Model","Other","Other"
"China",3,"client_Model","Oppo R9 Plusm A","Oppo<br>R9<br>Plusm<br>A"
"Vietnam",160,"client_Model","Generic Smartphone","Generic<br>Smartphone"
"Vietnam",109,"client_Model","iPhone","iPhone"
"Vietnam",11,"client_Model","Other","Other"
"Vietnam",5,"client_Model","iPad","iPad"
"Vietnam",3,"client_Model","Samsung SM-J610F","Samsung<br>SM-J610F"
"Canada",185,"client_OS","Android","Android"
"Canada",91,"client_OS","iOS 15.5","iOS<br>15.5"
"Canada",37,"client_OS","Windows 10","Windows<br>10"
"Canada",22,"client_OS","iOS 15.4","iOS<br>15.4"
"Canada",16,"client_OS","Mac OS X 10.15","Mac<br>OS<br>X<br>10.15"
"China",126,"client_OS","Android","Android"
"China",14,"client_OS","iOS 15.5","iOS<br>15.5"
"China",8,"client_OS","Android 8.1","Android<br>8.1"
"China",4,"client_OS","iOS 14.6","iOS<br>14.6"
"China",4,"client_OS","iOS 15.0","iOS<br>15.0"
"Vietnam",134,"client_OS","Android","Android"
"Vietnam",56,"client_OS","iOS 15.5","iOS<br>15.5"
"Vietnam",19,"client_OS","Android 8.1","Android<br>8.1"
"Vietnam",16,"client_OS","iOS 12.5","iOS<br>12.5"
"Vietnam",10,"client_OS","Android 6.0","Android<br>6.0"
"Canada",81,"client_Browser","Mobile Safari 15.5","Mobile<br>Safari<br>15.5"
"Canada",68,"client_Browser","Chrome Mobile 103.0","Chrome<br>Mobile<br>103.0"
"Canada",56,"client_Browser","Chrome Mobile 102.0","Chrome<br>Mobile<br>102.0"
"Canada",40,"client_Browser","Samsung Internet 17.0","Samsung<br>Internet<br>17.0"
"Canada",21,"client_Browser","Chrome 103.0","Chrome<br>103.0"
"China",29,"client_Browser","Chrome Mobile WebView 89.0","Chrome<br>Mobile<br>WebView<br>89.0"
"China",19,"client_Browser","Chrome 92.0","Chrome<br>92.0"
"China",13,"client_Browser","Chrome Mobile WebView 77.0","Chrome<br>Mobile<br>WebView<br>77.0"
"China",12,"client_Browser","Chrome Mobile WebView 83.0","Chrome<br>Mobile<br>WebView<br>83.0"
"China",9,"client_Browser","Mobile Safari 15.5","Mobile<br>Safari<br>15.5"
"Vietnam",66,"client_Browser","Chrome Mobile 102.0","Chrome<br>Mobile<br>102.0"
"Vietnam",49,"client_Browser","Chrome Mobile 103.0","Chrome<br>Mobile<br>103.0"
"Vietnam",44,"client_Browser","Mobile Safari 15.5","Mobile<br>Safari<br>15.5"
"Vietnam",22,"client_Browser","Chrome Mobile WebView 102.0","Chrome<br>Mobile<br>WebView<br>102.0"
"Vietnam",20,"client_Browser","Mobile Safari 14.1","Mobile<br>Safari<br>14.1"
"Canada",346,"spin_play_mode","Portrait","Portrait"
"Canada",80,"spin_play_mode","Landscape","Landscape"
"China",151,"spin_play_mode","Portrait","Portrait"
"China",50,"spin_play_mode","Landscape","Landscape"
"Vietnam",300,"spin_play_mode","Portrait","Portrait"
"Vietnam",24,"spin_play_mode","Landscape","Landscape"
"Canada",395,"spinMethod","tap","tap"
"Canada",118,"spinMethod","pan","pan"
"Canada",46,"spinMethod","autoplay","autoplay"
"Canada",15,"spinMethod","hold","hold"
"China",181,"spinMethod","tap","tap"
"China",43,"spinMethod","pan","pan"
"China",36,"spinMethod","autoplay","autoplay"
"China",13,"spinMethod","hold","hold"
"Vietnam",315,"spinMethod","tap","tap"
"Vietnam",162,"spinMethod","pan","pan"
"Vietnam",60,"spinMethod","autoplay","autoplay"
"Vietnam",28,"spinMethod","hold","hold"
"Canada",393,"stopMethod","normal","normal"
"Canada",147,"stopMethod","spinbutton","spinbutton"
"Canada",18,"stopMethod","slotstopbutton","slotstopbutton"
"China",181,"stopMethod","normal","normal"
"China",77,"stopMethod","spinbutton","spinbutton"
"China",11,"stopMethod","slotstopbutton","slotstopbutton"
"Vietnam",310,"stopMethod","normal","normal"
"Vietnam",198,"stopMethod","spinbutton","spinbutton"
"Vietnam",31,"stopMethod","slotstopbutton","slotstopbutton"
